"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-MMU-174417","Telomere C-strand (Lagging Strand) Synthesis","22/2260","22/8772",1.02124563727303e-13,8.74016057899505e-12,7.43538490295279e-12,"Pola1/Prim1/Rfc4/Pole/Pold2/Lig1/Pold1/Rfc5/Pcna/Prim2/Rfc3/Rfc1/Pole2/Rpa1/Rpa3/Pola2/Rfc2/Dna2/Pole3/Pold4/Pole4/Pold3",22
"R-MMU-69190","DNA strand elongation","22/2260","22/8772",1.02124563727303e-13,8.74016057899505e-12,7.43538490295279e-12,"Pola1/Gins1/Prim1/Rfc4/Gins2/Pold2/Lig1/Pold1/Rfc5/Pcna/Prim2/Rfc3/Rfc1/Rpa1/Rpa3/Pola2/Rfc2/Gins4/Dna2/Pold4/Gins3/Pold3",22
"R-MMU-180786","Extension of Telomeres","23/2260","24/8772",4.73283744929288e-13,3.73894158494138e-11,3.18077334648834e-11,"Pola1/Prim1/Rfc4/Pole/Pold2/Lig1/Pold1/Rfc5/Pcna/Dkc1/Prim2/Rfc3/Rfc1/Pole2/Rpa1/Rpa3/Pola2/Rfc2/Dna2/Pole3/Pold4/Pole4/Pold3",23
"R-MMU-2555396","Mitotic Metaphase and Anaphase","95/2260","193/8772",1.34865016930994e-12,9.89331231343788e-11,8.41638827464095e-11,"Nuf2/Bub1/Cenpe/Birc5/Spc25/Cdca5/Bub1b/Cenpf/Ndc80/Fbxo5/Kif2c/Cenpn/Cenpq/Ercc6l/Cdca8/Zwilch/Mad2l1/Cdc20/Pttg1/Aurkb/Ska1/Sgo1/Ube2c/Plk1/Kntc1/Cenpp/Spdl1/Cenph/Cenpk/Spc24/Sgo2a/Nde1/Clip1/Cenps/Cenpu/Cenpm/Incenp/Cenpo/Lmnb1/Nup85/Pmf1/Anapc15/Rangap1/Dsn1/Nup43/Lmna/Smc3/Pds5b/Rad21/Ska2/Vrk2/Nup37/Espl1/Cenpa/Vrk1/Nup160/Rcc2/Nup107/Cenpc1/Anapc5/Tuba1a/Ckap5/Nup133/Tuba4a/Taok1/Xpo1/Zw10/Cdc23/Tubb2a/Kif18a/Cenpt/Tuba1b/Psmb9/Psmd8/Psmb3/Tubb2b/Dynll1/Ranbp2/Anapc11/Itgb3bp/Pafah1b1/Psmb10/Banf1/Ankle2/Ubc/Zwint/Nudc/Smc1a/Psmd11/Wapl/Kif2a/Psmd5/Ppp2r5d/Ndel1/Cdc27",95
"R-MMU-68882","Mitotic Anaphase","94/2260","192/8772",2.64435325972655e-12,1.81050053182611e-10,1.54021979338459e-10,"Nuf2/Bub1/Cenpe/Birc5/Spc25/Cdca5/Bub1b/Cenpf/Ndc80/Kif2c/Cenpn/Cenpq/Ercc6l/Cdca8/Zwilch/Mad2l1/Cdc20/Pttg1/Aurkb/Ska1/Sgo1/Ube2c/Plk1/Kntc1/Cenpp/Spdl1/Cenph/Cenpk/Spc24/Sgo2a/Nde1/Clip1/Cenps/Cenpu/Cenpm/Incenp/Cenpo/Lmnb1/Nup85/Pmf1/Anapc15/Rangap1/Dsn1/Nup43/Lmna/Smc3/Pds5b/Rad21/Ska2/Vrk2/Nup37/Espl1/Cenpa/Vrk1/Nup160/Rcc2/Nup107/Cenpc1/Anapc5/Tuba1a/Ckap5/Nup133/Tuba4a/Taok1/Xpo1/Zw10/Cdc23/Tubb2a/Kif18a/Cenpt/Tuba1b/Psmb9/Psmd8/Psmb3/Tubb2b/Dynll1/Ranbp2/Anapc11/Itgb3bp/Pafah1b1/Psmb10/Banf1/Ankle2/Ubc/Zwint/Nudc/Smc1a/Psmd11/Wapl/Kif2a/Psmd5/Ppp2r5d/Ndel1/Cdc27",94
"R-MMU-68962","Activation of the pre-replicative complex","26/2260","30/8772",3.86676691116225e-12,2.48198101110227e-10,2.11145824754254e-10,"Mcm5/Pola1/Prim1/Mcm6/Mcm7/Mcm2/Mcm4/Mcm10/Mcm3/Pole/Cdc45/Cdc6/Prim2/Cdc7/Pole2/Rpa1/Rpa3/Pola2/Dbf4/Mcm8/Gmnn/Orc2/Pole3/Cdk2/Orc1/Pole4",26
"R-MMU-5693579","Homologous DNA Pairing and Strand Exchange","30/2260","38/8772",9.40186876205864e-12,5.67983483449072e-10,4.83192016873602e-10,"Rad51/Rad51ap1/Rfc4/Chek1/Rfc5/Brca1/Topbp1/Blm/Atm/Rfc3/Brca2/Rbbp8/Rpa1/Rpa3/Rfc2/Exo1/Kat5/Brip1/Hus1/Dna2/Nbn/Mre11a/Rad51d/Palb2/Rad1/Rad51b/Wrn/Rad51c/Rmi1/Xrcc2",30
"R-MMU-69186","Lagging Strand Synthesis","18/2260","18/8772",2.37836826366277e-11,1.35699122598981e-09,1.15441266598836e-09,"Pola1/Prim1/Rfc4/Pold2/Lig1/Pold1/Rfc5/Pcna/Prim2/Rfc3/Rfc1/Rpa1/Rpa3/Pola2/Rfc2/Dna2/Pold4/Pold3",18
"R-MMU-5693616","Presynaptic phase of homologous DNA pairing and strand exchange","28/2260","35/8772",2.64460901232434e-11,1.42948076613531e-09,1.21608059846493e-09,"Rad51/Rfc4/Chek1/Rfc5/Brca1/Topbp1/Blm/Atm/Rfc3/Brca2/Rbbp8/Rpa1/Rpa3/Rfc2/Exo1/Kat5/Brip1/Hus1/Dna2/Nbn/Mre11a/Rad51d/Rad1/Rad51b/Wrn/Rad51c/Rmi1/Xrcc2",28
"R-MMU-2467813","Separation of Sister Chromatids","88/2260","182/8772",3.12563951965663e-11,1.60501589334368e-09,1.36541094806053e-09,"Nuf2/Bub1/Cenpe/Birc5/Spc25/Cdca5/Bub1b/Cenpf/Ndc80/Kif2c/Cenpn/Cenpq/Ercc6l/Cdca8/Zwilch/Mad2l1/Cdc20/Pttg1/Aurkb/Ska1/Sgo1/Ube2c/Plk1/Kntc1/Cenpp/Spdl1/Cenph/Cenpk/Spc24/Sgo2a/Nde1/Clip1/Cenps/Cenpu/Cenpm/Incenp/Cenpo/Nup85/Pmf1/Anapc15/Rangap1/Dsn1/Nup43/Smc3/Pds5b/Rad21/Ska2/Nup37/Espl1/Cenpa/Nup160/Rcc2/Nup107/Cenpc1/Anapc5/Tuba1a/Ckap5/Nup133/Tuba4a/Taok1/Xpo1/Zw10/Cdc23/Tubb2a/Kif18a/Cenpt/Tuba1b/Psmb9/Psmd8/Psmb3/Tubb2b/Dynll1/Ranbp2/Anapc11/Itgb3bp/Pafah1b1/Psmb10/Ubc/Zwint/Nudc/Smc1a/Psmd11/Wapl/Kif2a/Psmd5/Ppp2r5d/Ndel1/Cdc27",88
"R-MMU-73933","Resolution of Abasic Sites (AP sites)","26/2260","32/8772",7.27730016855003e-11,3.55894632052423e-09,3.02764869167746e-09,"Rfc4/Pole/Pold2/Lig1/Pold1/Rfc5/Pcna/Ung/Rfc3/Apex1/Rfc1/Pole2/Rpa1/Rpa3/Rfc2/Xrcc1/Mbd4/Pole3/Parp2/Pold4/Pole4/Mutyh/Ogg1/Neil1/Pold3/Smug1",26
"R-MMU-176187","Activation of ATR in response to replication stress","27/2260","34/8772",8.30512069973504e-11,3.87698134483086e-09,3.29820582812444e-09,"Mcm5/Mcm6/Mcm7/Mcm2/Clspn/Mcm4/Mcm10/Rfc4/Chek1/Mcm3/Rfc5/Cdc45/Cdc6/Cdc25c/Cdc25a/Rfc3/Cdc7/Rpa1/Rpa3/Rfc2/Dbf4/Mcm8/Hus1/Orc2/Cdk2/Orc1/Rad1",27
"R-MMU-73894","DNA Repair","132/2260","314/8772",1.18499862519836e-10,5.29127646990745e-09,4.50136777535303e-09,"Rad51/Pclaf/Dtl/Ccna2/Clspn/Rad51ap1/Rfc4/H2afx/Ube2t/Tipin/Chek1/Pole/Timeless/Pold2/Lig1/Pold1/Rfc5/Usp1/Brca1/Hmgn1/Topbp1/Msh6/Rad18/Isy1/Pcna/Blm/Neil3/Fanci/Rif1/Atm/Ung/Eme1/H2afv/Msh2/Cenps/Rfc3/Brca2/Apex1/Fancd2/H2afz/Rbbp8/Rfc1/Pole2/Rpa1/Rpa3/Rfc2/Exo1/Alkbh5/Fanca/Nsd2/Kat5/Brip1/Ruvbl1/Usp7/Ube2l6/Mlh1/Polh/Paxip1/Kdm4b/Chek2/Xrcc6/Ercc3/Fancb/Hus1/Tdp2/Mad2l2/Dna2/Nbn/Eya4/Xrcc1/Terf1/Prpf19/Actl6a/Mbd4/Usp10/Pole3/Ube2i/Parp2/Mre11a/Pold4/Polk/Kpna2/Rtel1/Cops4/Fancl/Cetn2/Cenpx/Prkdc/Fancm/Fancg/Rad51d/Cdk2/Poli/Gtf2h4/Xrcc4/Mnat1/Palb2/Pole4/Yy1/Ccnh/Ddb2/Xpc/Ubc/Ercc8/Dclre1b/Pot1a/Rad1/Eya1/Trp53/Rad51b/Rnf168/Mutyh/Wrn/Ogg1/Lig4/Actr8/Rad51c/Faap24/Rmi1/Ino80b/Neil1/Uba7/Tfpt/Msh3/Baz1b/Zfp830/Pold3/Smug1/Xrcc2/Polr2a/Sumo1/Bivm",132
"R-MMU-8854518","AURKA Activation by TPX2","44/2260","72/8772",2.29455533919776e-10,9.8187847223171e-09,8.35298654181642e-09,"Hmmr/Nek2/Tpx2/Haus1/Plk4/Cdk1/Plk1/Aurka/Haus3/Tubg1/Nde1/Cep192/Haus4/Haus6/Haus8/Cdk5rap2/Haus7/Haus5/Cep152/Prkar2b/Tuba1a/Cep70/Ckap5/Tuba4a/Cep41/Nedd1/Haus2/Ccp110/Tubb5/Odf2/Cetn2/Dynll1/Cep57/Ywhag/Pafah1b1/Pcm1/Hsp90aa1/Pcnt/Fgfr1op/Cep131/Cep72/Cep76/Cntrl/Cep250",44
"R-MMU-5651801","PCNA-Dependent Long Patch Base Excision Repair","18/2260","19/8772",3.42247030127483e-10,1.4059507997637e-08,1.19606330528762e-08,"Rfc4/Pole/Pold2/Lig1/Pold1/Rfc5/Pcna/Rfc3/Apex1/Rfc1/Pole2/Rpa1/Rpa3/Rfc2/Pole3/Pold4/Pole4/Pold3",18
"R-MMU-69242","S Phase","71/2260","142/8772",3.89418147233535e-10,1.53820168157246e-08,1.30857110203981e-08,"Mcm5/Pola1/Gins1/Prim1/Mcm6/Mcm7/Ccna2/Mcm2/Cdca5/Mcm4/Rfc4/Ccne2/Cks1b/Gins2/Mcm3/Pole/Pold2/Ube2c/Lig1/Pold1/Rfc5/Ccnd1/Cdc6/Esco2/Pcna/Ccne1/Wee1/Prim2/Cdc25a/Rfc3/Anapc15/Rfc1/Pole2/Rpa1/Rpa3/Pola2/Rfc2/Smc3/Mcm8/Pds5b/Rad21/Cdc25b/Cdk4/Gins4/Anapc5/Skp2/Orc2/Dna2/Cdc23/Psmb9/Pole3/Psmd8/Akt2/Pold4/Psmb3/Fzr1/Gins3/Anapc11/Cdk2/Psmb10/Mnat1/Orc1/Pole4/Ccnh/Ubc/Smc1a/Psmd11/Wapl/Psmd5/Pold3/Cdc27",71
"R-MMU-110373","Resolution of AP sites via the multiple-nucleotide patch replacement pathway","19/2260","21/8772",7.32754170851135e-10,2.7871797535708e-08,2.37109536766644e-08,"Rfc4/Pole/Pold2/Lig1/Pold1/Rfc5/Pcna/Rfc3/Apex1/Rfc1/Pole2/Rpa1/Rpa3/Rfc2/Pole3/Parp2/Pold4/Pole4/Pold3",19
"R-MMU-5693554","Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)","21/2260","25/8772",1.64919919333374e-09,6.04902704126341e-08,5.14599748295868e-08,"Rad51/Rad51ap1/Brca1/Blm/Atm/Brca2/Rbbp8/Exo1/Kat5/Brip1/Dna2/Nbn/Mre11a/Rtel1/Rad51d/Palb2/Rad51b/Wrn/Rad51c/Rmi1/Xrcc2",21
"R-MMU-6804756","Regulation of TP53 Activity through Phosphorylation","47/2260","83/8772",2.07255176748153e-09,7.33969194897768e-08,6.24398536119661e-08,"Ccna2/Rfc4/Chek1/Tpx2/Aurkb/Rfc5/Brca1/Aurka/Topbp1/Taf15/Blm/Atm/Rfc3/Rbbp8/Taf5/Hipk1/Rpa1/Rpa3/Rfc2/Exo1/Kat5/Brip1/Ssrp1/Chek2/Hipk2/Prkag2/Hus1/Prkab1/Dna2/Nbn/Mre11a/Dyrk2/Cdk2/Mapk14/Ubc/Rad1/Taf12/Trp53/Prkab2/Wrn/Taf1/Taf10/Rmi1/Supt16/Csnk2a1/Prkaa1/Taf7",47
"R-MMU-5656169","Termination of translesion DNA synthesis","24/2260","31/8772",2.45454191373191e-09,8.40271515134225e-08,7.14831504700873e-08,"Pclaf/Rfc4/Pole/Pold2/Pold1/Rfc5/Pcna/Rfc3/Rfc1/Pole2/Rpa1/Rpa3/Rfc2/Ube2l6/Polh/Usp10/Pole3/Pold4/Polk/Poli/Pole4/Ubc/Uba7/Pold3",24
"R-MMU-380259","Loss of Nlp from mitotic centrosomes","41/2260","69/8772",3.13621371027159e-09,1.00652858764029e-07,8.56268874843889e-08,"Nek2/Haus1/Plk4/Cdk1/Plk1/Haus3/Tubg1/Nde1/Cep192/Haus4/Haus6/Haus8/Cdk5rap2/Haus7/Haus5/Cep152/Prkar2b/Tuba1a/Cep70/Ckap5/Tuba4a/Cep41/Nedd1/Haus2/Ccp110/Tubb5/Odf2/Cetn2/Dynll1/Cep57/Ywhag/Pafah1b1/Pcm1/Hsp90aa1/Pcnt/Fgfr1op/Cep131/Cep72/Cep76/Cntrl/Cep250",41
"R-MMU-380284","Loss of proteins required for interphase microtubule organization from the centrosome","41/2260","69/8772",3.13621371027159e-09,1.00652858764029e-07,8.56268874843889e-08,"Nek2/Haus1/Plk4/Cdk1/Plk1/Haus3/Tubg1/Nde1/Cep192/Haus4/Haus6/Haus8/Cdk5rap2/Haus7/Haus5/Cep152/Prkar2b/Tuba1a/Cep70/Ckap5/Tuba4a/Cep41/Nedd1/Haus2/Ccp110/Tubb5/Odf2/Cetn2/Dynll1/Cep57/Ywhag/Pafah1b1/Pcm1/Hsp90aa1/Pcnt/Fgfr1op/Cep131/Cep72/Cep76/Cntrl/Cep250",41
